order_id,customer_id,restaurant_name,food_item,category,order_time,delivery_time,delivery_area,order_status,rating,review,order_value,delivery_partner,order_date,order_hour,order_day,order_day_name,order_day_of_week,is_weekend,peak_hour_label,delivery_delay,clean_review,clean_review_no_stop,sentiment_polarity,sentiment_subjectivity,sentiment_category
OD10001,CUST3310,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-20 10:47:57,23.0,Koramangala,Delivered,5.0,Outstanding quality! Will definitely order again.,150,DP_176,2026-05-20,10,Wednesday,Wednesday,2,0,Off-Peak,0.0,outstanding quality will definitely order again,outstanding quality definitely,0.25,0.6875,Positive
OD10002,CUST3035,Tandoori Nights,Chicken Seekh Kebab,North Indian,2026-05-15 13:55:00,43.0,Hsr Layout,Delivered,1.0,Unprofessional delivery partner. Very bad experience.,360,DP_190,2026-05-15,13,Friday,Friday,4,1,Lunch Peak,13.0,unprofessional delivery partner very bad experience,unprofessional bad experience,-0.6999999999999998,0.6666666666666666,Negative
OD10003,CUST2210,The Golden Dosa,Onion Uttapam,South Indian,2026-05-22 07:29:34,30.0,Koramangala,Delivered,4.0,Overall great experience. Prompt service.,170,DP_149,2026-05-22,7,Friday,Friday,4,1,Off-Peak,0.0,overall great experience prompt service,overall great experience prompt service,0.4,0.375,Positive
OD10004,CUST3183,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-04-29 21:55:06,56.0,Btm Layout,Delivered,2.0,Delivery took almost an hour. Unhappy.,250,DP_136,2026-04-29,21,Wednesday,Wednesday,2,0,Dinner Peak,26.0,delivery took almost an hour unhappy,took almost hour unhappy,-0.6,0.9,Negative
OD10005,CUST2430,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-04 12:24:17,39.0,Whitefield,Delivered,5.0,"Extremely satisfied, delivered hot and fresh!",410,DP_188,2026-05-04,12,Monday,Monday,0,0,Lunch Peak,9.0,extremely satisfied delivered hot and fresh,extremely satisfied hot fresh,0.35000000000000003,0.7833333333333333,Positive
OD10006,CUST2822,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-12 15:58:41,19.0,Malleshwaram,Delivered,5.0,"Delivered way before time, packaging was excellent!",420,DP_119,2026-05-12,15,Tuesday,Tuesday,1,0,Off-Peak,0.0,delivered way before time packaging was excellent,way time packaging excellent,1.0,1.0,Positive
OD10007,CUST2539,Tandoori Nights,Tandoori Roti Combo,North Indian,2026-05-01 18:05:48,27.0,Indiranagar,Delivered,4.0,Good taste and neat packaging.,410,DP_115,2026-05-01,18,Friday,Friday,4,1,Off-Peak,0.0,good taste and neat packaging,good taste neat packaging,0.7,0.6000000000000001,Positive
OD10008,CUST2789,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-24 22:43:46,,Koramangala,Cancelled,,Item out of stock at restaurant,580,DP_188,2026-05-24,22,Sunday,Sunday,6,1,Dinner Peak,,item out of stock at restaurant,item stock,0.0,0.0,Neutral
OD10009,CUST2547,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-20 21:16:32,39.0,Hsr Layout,Delivered,4.0,Decent portion size and good taste. Recommended.,270,DP_165,2026-05-20,21,Wednesday,Wednesday,2,0,Dinner Peak,9.0,decent portion size and good taste recommended,decent portion size good taste recommended,0.4333333333333333,0.6333333333333333,Positive
OD10010,CUST2408,Royal Biryani House,Veg Hyderabadi Biryani,Biryani & Mughlai,2026-05-12 06:59:23,15.0,Jayanagar,Delivered,5.0,"Amazing food, super fast delivery!",300,DP_131,2026-05-12,6,Tuesday,Tuesday,1,0,Off-Peak,0.0,amazing food super fast delivery,amazing super fast,0.37777777777777777,0.7222222222222222,Positive
