order_id,customer_id,restaurant_id,order_time,delivery_time,status,rating,order_value,food_item
OD10001,CUST3310,REST_02,2026-05-20 10:47:57,23.0,Delivered,5.0,150,Masala Dosa with Sambar
OD10002,CUST3035,REST_10,2026-05-15 13:55:00,43.0,Delivered,1.0,360,Chicken Seekh Kebab
OD10003,CUST2210,REST_02,2026-05-22 07:29:34,30.0,Delivered,4.0,170,Onion Uttapam
OD10004,CUST3183,REST_04,2026-04-29 21:55:06,56.0,Delivered,2.0,250,Veg Hakka Noodles
OD10005,CUST2430,REST_05,2026-05-04 12:24:17,39.0,Delivered,5.0,410,Margherita Pizza 10-inch
OD10006,CUST2822,REST_05,2026-05-12 15:58:41,19.0,Delivered,5.0,420,Margherita Pizza 10-inch
OD10007,CUST2539,REST_10,2026-05-01 18:05:48,27.0,Delivered,4.0,410,Tandoori Roti Combo
OD10008,CUST2789,REST_07,2026-05-24 22:43:46,,Cancelled,,580,Fresh Fruit Bowl
OD10009,CUST2547,REST_06,2026-05-20 21:16:32,39.0,Delivered,4.0,270,Classic Cheese Burger & Fries
OD10010,CUST2408,REST_03,2026-05-12 06:59:23,15.0,Delivered,5.0,300,Veg Hyderabadi Biryani
OD10011,CUST2176,REST_08,2026-05-12 22:10:16,49.0,Delivered,3.0,450,Chocolate Lava Cake
OD10012,CUST3331,REST_06,2026-05-04 08:01:37,25.0,Delivered,4.0,430,Chicken Nuggets (9 pcs)
OD10013,CUST2469,REST_02,2026-05-05 20:13:34,47.0,Delivered,2.0,260,Masala Dosa with Sambar
OD10014,CUST2390,REST_02,2026-05-11 21:03:43,47.0,Delivered,4.0,160,Masala Dosa with Sambar
OD10015,CUST2390,REST_09,2026-05-04 21:04:28,55.0,Delivered,1.0,220,Paneer Tikka Sandwich
OD10016,CUST2341,REST_07,2026-05-02 14:24:16,41.0,Delivered,3.0,280,Greek Salad
OD10017,CUST3187,REST_09,2026-05-12 18:54:33,24.0,Delivered,5.0,230,Club Sandwich
OD10018,CUST2140,REST_04,2026-04-28 19:26:42,58.0,Delivered,1.0,310,Chilli Chicken Gravy
OD10019,CUST2269,REST_05,2026-05-16 23:06:04,47.0,Delivered,1.0,440,Farmhouse Veg Pizza
OD10020,CUST2757,REST_05,2026-05-22 20:00:42,35.0,Delivered,5.0,400,Chicken Alfredo Pasta
OD10021,CUST2319,REST_05,2026-05-17 21:32:31,49.0,Delivered,4.0,350,Veg Arrabiata Penne Pasta
OD10022,CUST2268,REST_05,2026-04-30 08:56:44,21.0,Delivered,5.0,410,Chicken Alfredo Pasta
OD10023,CUST2881,REST_03,2026-05-03 20:42:06,72.0,Delivered,1.0,350,Chicken Dum Biryani
OD10024,CUST2363,REST_07,2026-05-10 20:55:47,61.0,Delivered,1.0,280,Caesar Salad
OD10025,CUST2409,REST_08,2026-05-18 12:21:17,35.0,Delivered,4.0,130,Gulab Jamun (4 pcs)
OD10026,CUST2679,REST_01,2026-05-05 07:38:27,35.0,Delivered,4.0,740,Butter Chicken & Naan
OD10027,CUST2237,REST_07,2026-04-27 18:51:34,29.0,Delivered,4.0,200,Fresh Fruit Bowl
OD10028,CUST3277,REST_06,2026-05-18 15:25:44,16.0,Delivered,5.0,280,Classic Cheese Burger & Fries
OD10029,CUST3388,REST_03,2026-04-27 13:13:27,48.0,Delivered,2.0,410,Chicken Tikka Biryani
OD10030,CUST2348,REST_02,2026-05-21 13:19:14,32.0,Delivered,4.0,190,Rava Kesari & Dosa Combo
OD10031,CUST2933,REST_07,2026-05-04 12:44:00,35.0,Delivered,2.0,230,Fresh Fruit Bowl
OD10032,CUST2952,REST_01,2026-05-22 17:33:35,46.0,Delivered,2.0,330,Kadhai Paneer with Roti
