order_id,customer_id,restaurant_name,food_item,category,order_time,delivery_time,delivery_area,order_status,rating,review,order_value,delivery_partner
OD10001,CUST3310,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-20 10:47:57,23,Koramangala,Delivered,5,Outstanding quality! Will definitely order again.,150,DP_176
OD10002,CUST3035,Tandoori Nights,Chicken Seekh Kebab,North Indian,2026-05-15 13:55:00,43,HSR Layout,Delivered,1,Unprofessional delivery partner. Very bad experience.,360,DP_190
OD10003,CUST2210,The Golden Dosa,Onion Uttapam,South Indian,2026-05-22 07:29:34,30,Koramangala,Delivered,4,Overall great experience. Prompt service.,170,DP_149
OD10004,CUST3183,Wok & Roll,Veg Hakka Noodles,Chinese & Asian,2026-04-29 21:55:06,56,BTM Layout,Delivered,2,Delivery took almost an hour. Unhappy.,250,DP_136
OD10005,CUST2430,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-04 12:24:17,39,Whitefield,Delivered,5,"Extremely satisfied, delivered hot and fresh!",410,DP_188
OD10006,CUST2822,Bella Italia,Margherita Pizza 10-inch,Italian,2026-05-12 15:58:41,19,Malleshwaram,Delivered,5,"Delivered way before time, packaging was excellent!",420,DP_119
OD10007,CUST2539,Tandoori Nights,Tandoori Roti Combo,North Indian,2026-05-01 18:05:48,27,Indiranagar,Delivered,4,Good taste and neat packaging.,410,DP_115
OD10008,CUST2789,The Salad Bowl,Fresh Fruit Bowl,Healthy & Salads,2026-05-24 22:43:46,,Koramangala,Cancelled,,Item out of stock at restaurant,580,DP_188
OD10009,CUST2547,Burger Bistro,Classic Cheese Burger & Fries,Fast Food,2026-05-20 21:16:32,39,HSR Layout,Delivered,4,Decent portion size and good taste. Recommended.,270,DP_165
OD10010,CUST2408,Royal Biryani House,Veg Hyderabadi Biryani,Biryani & Mughlai,2026-05-12 06:59:23,15,Jayanagar,Delivered,5,"Amazing food, super fast delivery!",300,DP_131
OD10011,CUST2176,Sweet Retreat,Chocolate Lava Cake,Desserts,2026-05-12 22:10:16,49,BTM Layout,Delivered,3,The food was decent but arrived a bit cold.,450,DP_128
OD10012,CUST3331,Burger Bistro,Chicken Nuggets (9 pcs),Fast Food,2026-05-04 08:01:37,25,Whitefield,Delivered,4,Good taste and neat packaging.,430,DP_176
OD10013,CUST2469,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-05 20:13:34,47,HSR Layout,Delivered,2,"Not worth the price, portion was very small.",260,DP_193
OD10014,CUST2390,The Golden Dosa,Masala Dosa with Sambar,South Indian,2026-05-11 21:03:43,47,Koramangala,Delivered,4,"Tasty food, but could be a bit warmer.",160,DP_108
OD10015,CUST2390,Cafe Daybreak,Paneer Tikka Sandwich,Continental & Beverages,2026-05-04 21:04:28,55,Koramangala,Delivered,1,The food tasted stale and horrible! Threw it in the trash.,220,DP_107
OD10016,CUST2341,The Salad Bowl,Greek Salad,Healthy & Salads,2026-05-02 14:24:16,41,Malleshwaram,Delivered,3,Average food. Nothing special.,280,DP_137
OD10017,CUST3187,Cafe Daybreak,Club Sandwich,Continental & Beverages,2026-05-12 18:54:33,24,HSR Layout,Delivered,5,"Delivered way before time, packaging was excellent!",230,DP_108
